combination,property,human_label_majority,gpt-4o_generated_
fridge fruit,metallic,others,"['{""property_type"": ""canceled""}']"
a needle in the haystack,cotton,others,"['{""property_type"": ""canceled""}']"
a rheumatic bandage,sticky,others,"['{""property_type"": ""others""}']"
a cribhouse whore,in need of rescue,others,"['{""property_type"": ""others""}']"
bees to blossoms,low-calorie,others,"['{""property_type"": ""others""}']"
the irs guy,distracting,others,"['{""property_type"": ""emergent""}']"
a newborn filly,better suited for walking long distances quickly,others,"['{""property_type"": ""canceled""}']"
a ship in the bottle,explosive,others,"['{""property_type"": ""others""}']"
a pole without any support,abandon,others,"['{""property_type"": ""emergent""}']"
drying clay,natural,others,"['{""property_type"": ""component""}']"
a little sun,caring,others,"['{""property_type"": ""others""}']"
two pies to the face and,subversive,others,"['{""property_type"": ""emergent""}']"
one surgeon on a battlefield,frigid,others,"['{""property_type"": ""others""}']"
a snake in the grass,buoyant,others,"['{""property_type"": ""others""}']"
an ordinary routine,unexciting,others,"['{""property_type"": ""emergent""}']"
the old days,fictional,others,"['{""property_type"": ""others""}']"
the moral law,photosynthetic,others,"['{""property_type"": ""others""}']"
a stuffed crocodile,not bright,others,"['{""property_type"": ""component""}']"
an apple on a toothpick,wooden,others,"['{""property_type"": ""component""}']"
a rope out of the coil,uninspire,others,"['{""property_type"": ""others""}']"
vegetables vs twinkies,calculated,others,"['{""property_type"": ""others""}']"
a pub without beer,steady,others,"['{""property_type"": ""canceled""}']"
a restaurant girl,suspenseful,others,"['{""property_type"": ""others""}']"
a jackass with no training,unwieldy,others,"['{""property_type"": ""emergent""}']"
lions in a pride,narrow,others,"['{""property_type"": ""canceled""}']"
the main manufacturers,emptiness,others,"['{""property_type"": ""others""}']"
a hog in slop,bubble,others,"['{""property_type"": ""emergent""}']"
a beaten dog,dissimilar,others,"['{""property_type"": ""others""}']"
house roofs,threatening,others,"['{""property_type"": ""others""}']"
a bat out of a sunrise,soft,others,"['{""property_type"": ""canceled""}']"
a voice from the grave,significant,others,"['{""property_type"": ""emergent""}']"
a cat in a bag,recoverable,others,"['{""property_type"": ""emergent""}']"
a man in a fit,exploit,others,"['{""property_type"": ""emergent""}']"
a stuffed crocodile,destructive,others,"['{""property_type"": ""canceled""}']"
a boardinghouse steak,fast,others,"['{""property_type"": ""emergent""}']"
wax work,emptiness,others,"['{""property_type"": ""emergent""}']"
a wall of text,non,others,"['{""property_type"": ""others""}']"
the land of the dead,fast,others,"['{""property_type"": ""others""}']"
a wet poodle,unsophisticated,others,"['{""property_type"": ""others""}']"
the central figures,necessary,others,"['{""property_type"": ""emergent""}']"
a church mouse,ridiculous,others,"['{""property_type"": ""others""}']"
eyesockets without eyes,sudden,others,"['{""property_type"": ""others""}']"
the wind from the lake,bright,others,"['{""property_type"": ""others""}']"
mere gauze,fast,others,"['{""property_type"": ""others""}']"
a couple of rounds,unpleasant,others,"['{""property_type"": ""emergent""}']"
snow at midsummer,trained,others,"['{""property_type"": ""others""}']"
puppies and wolves,works in a restaurant setting,others,"['{""property_type"": ""canceled""}']"
a hair shirt,fulfil,others,"['{""property_type"": ""emergent""}']"
a restaurant girl,discard,others,"['{""property_type"": ""others""}']"
ditch water,exploit,others,"['{""property_type"": ""others""}']"
a wet swab,startle,others,"['{""property_type"": ""others""}']"
the irs guy,sovereign,others,"['{""property_type"": ""others""}']"
a skein of smoke,foundational,others,"['{""property_type"": ""others""}']"
mere artificers,soft,others,"['{""property_type"": ""others""}']"
disjointed thoughts,light,others,"['{""property_type"": ""others""}']"
the pedi cabs,quick movements,others,"['{""property_type"": ""emergent""}']"
a fixed star,organize,others,"['{""property_type"": ""others""}']"
the hills in summer,comfort,others,"['{""property_type"": ""emergent""}']"
tempting fate,upright,others,"['{""property_type"": ""others""}']"
two horny teenagers,idealize,others,"['{""property_type"": ""emergent""}']"
a spent runner,friendly,others,"['{""property_type"": ""others""}']"
two horny teenagers,detachable,others,"['{""property_type"": ""others""}']"
a goddamn ghost,immobile,others,"['{""property_type"": ""others""}']"
a tooth of iron,significant,others,"['{""property_type"": ""others""}']"
pizza with no cheese,decorative,others,"['{""property_type"": ""others""}']"
a poke in the eye,cerebral,others,"['{""property_type"": ""canceled""}']"
the moral law,precarious,others,"['{""property_type"": ""emergent""}']"
enraged bulls,obvious,others,"['{""property_type"": ""others""}']"
breaking tradition,tolerant,others,"['{""property_type"": ""emergent""}']"
a warm mattress,curious,others,"['{""property_type"": ""others""}']"
a barnacle on a keel,tiny,others,"['{""property_type"": ""component""}']"
a goddamn ghost,topped,others,"['{""property_type"": ""others""}']"
a voice from the grave,embarrass,others,"['{""property_type"": ""emergent""}']"
the tiny birds,rigid,others,"['{""property_type"": ""others""}']"
morning dew,disparate,others,"['{""property_type"": ""emergent""}']"
water down a drain,ethical,others,"['{""property_type"": ""others""}']"
the photo on the box,photosynthetic,others,"['{""property_type"": ""others""}']"
an entire galaxy,rigid,others,"['{""property_type"": ""others""}']"
the elephant on the table,transient,others,"['{""property_type"": ""emergent""}']"
a drunken horse,better suited for walking long distances quickly,others,"['{""property_type"": ""canceled""}']"
stuffed fox 's,malleable,others,"['{""property_type"": ""emergent""}']"
a mare in heat,soft,others,"['{""property_type"": ""component""}']"
a thousand dollars for one outfit,colorless,others,"['{""property_type"": ""others""}']"
a lettuce without water,clear,others,"['{""property_type"": ""canceled""}']"
an extra punishment,simple,others,"['{""property_type"": ""canceled""}']"
polite smiles,drinkable,others,"['{""property_type"": ""others""}']"
stuffed fox 's,spicy,others,"['{""property_type"": ""others""}']"
a ladys voice,exaggerated,others,"['{""property_type"": ""others""}']"
a natural timeout,real,others,"['{""property_type"": ""emergent""}']"
the moral law,refreshing,others,"['{""property_type"": ""others""}']"
the old days,beautiful,others,"['{""property_type"": ""others""}']"
a damp firework,time,others,"['{""property_type"": ""others""}']"
the silk merchant's,refreshing,others,"['{""property_type"": ""others""}']"
a mouthful of pennies,not bright,others,"['{""property_type"": ""canceled""}']"
a man possessed,hot,others,"['{""property_type"": ""others""}']"
an untreated wound,unaware,others,"['{""property_type"": ""others""}']"
the feet of the fly,soothe,others,"['{""property_type"": ""others""}']"
the career of a comet,ferocious,others,"['{""property_type"": ""others""}']"
the fuller's earth,excite,others,"['{""property_type"": ""others""}']"
hot primroses,decorative,others,"['{""property_type"": ""emergent""}']"
a blast of wind,bright,others,"['{""property_type"": ""others""}']"
a tooth of iron,masticatory,others,"['{""property_type"": ""component""}']"
the lemon party,red,others,"['{""property_type"": ""others""}']"
premium chicken,bright,others,"['{""property_type"": ""others""}']"
lions in a pride,relax,others,"['{""property_type"": ""emergent""}']"
a revving motor,wing,others,"['{""property_type"": ""others""}']"
a goddamn ghost,stream-dwelling,others,"['{""property_type"": ""others""}']"
a spring out of the soybeans,irresistibly,others,"['{""property_type"": ""others""}']"
a girl since gender,short,others,"['{""property_type"": ""others""}']"
a villager under ice,soft,others,"['{""property_type"": ""component""}']"
blind patriotism,introductory,others,"['{""property_type"": ""others""}']"
witch trials,unreliable,others,"['{""property_type"": ""emergent""}']"
the water extinguishing,popular,others,"['{""property_type"": ""others""}']"
the elephant in the room,emptiness,others,"['{""property_type"": ""canceled""}']"
night from day,single,others,"['{""property_type"": ""emergent""}']"
a winding sheet,carefully planned,others,"['{""property_type"": ""others""}']"
a slab of metal,well,others,"['{""property_type"": ""others""}']"
swelled head,rare,others,"['{""property_type"": ""emergent""}']"
a sprinter out of the blocks,festive,others,"['{""property_type"": ""others""}']"
a blown eggshell,fantastical,others,"['{""property_type"": ""others""}']"
a man down rapids,manipulative,others,"['{""property_type"": ""others""}']"
an act of charity,menacing,others,"['{""property_type"": ""canceled""}']"
the world without the sun,recoverable,others,"['{""property_type"": ""canceled""}']"
the memory of the kiss,cinematic,others,"['{""property_type"": ""emergent""}']"
the cherry on top,creative,others,"['{""property_type"": ""emergent""}']"
the faith of the simple,unpleasant,others,"['{""property_type"": ""others""}']"
a face without a nose,unique,others,"['{""property_type"": ""emergent""}']"
ill preparation,unnerve,others,"['{""property_type"": ""emergent""}']"
a marriage without inclination,unpleasant,others,"['{""property_type"": ""emergent""}']"
an unhinged jaw,harmonious,others,"['{""property_type"": ""canceled""}']"
"an army without a commander, or",ornate,others,"['{""property_type"": ""others""}']"
a girl in a bathingsuit,plentiful,others,"['{""property_type"": ""others""}']"
sandpaper against paper,sizeable,others,"['{""property_type"": ""others""}']"
water down a drain,works in a restaurant setting,others,"['{""property_type"": ""others""}']"
a girl since gender,disease vector,others,"['{""property_type"": ""others""}']"
"the dollar menu,",simple,others,"['{""property_type"": ""emergent""}']"
a rheumatic bandage,painful,others,"['{""property_type"": ""canceled""}']"
faith without love,important,others,"['{""property_type"": ""canceled""}']"
a scene out of Jaws,fluffy,others,"['{""property_type"": ""others""}']"
a lettuce without water,small-scale,others,"['{""property_type"": ""canceled""}']"
the earlier computer,exploit,others,"['{""property_type"": ""others""}']"
molehills in a meadow,soothing,others,"['{""property_type"": ""emergent""}']"
the old campground,restricted,others,"['{""property_type"": ""others""}']"
a hastening waterfowl,painful,others,"['{""property_type"": ""others""}']"
a brute beast,sweet,others,"['{""property_type"": ""others""}']"
a missing puzzle,heavy,others,"['{""property_type"": ""others""}']"
a church pillar,regulatory,others,"['{""property_type"": ""others""}']"
a coursing river,sting,others,"['{""property_type"": ""others""}']"
a jackass with no training,steady,others,"['{""property_type"": ""canceled""}']"
a duck's foot,fragile,others,"['{""property_type"": ""component""}']"
the wind from the lake,quick,others,"['{""property_type"": ""emergent""}']"
a church pillar,unaware,others,"['{""property_type"": ""others""}']"
jousting windmills,inflame,others,"['{""property_type"": ""others""}']"
a skunk in heat,shiny,others,"['{""property_type"": ""others""}']"
a stone from a slingshot,structure,others,"['{""property_type"": ""component""}']"
